instagram_account,post_id,post_caption
tiffanyfani,post_119,"✨ 10 years in the making... Today, I’m finally ready to share something very personal. A dream I’ve carried even before Haengun was born — and it’s about to come true. 😭💖 12 years in the modeling & entertainment industry have shaped this vision, and now... it’s finally happening. Any guesses what this project might be? 👀 Hint: It’s connected to my journey, my passion, and my love for helping others build confidence — especially kids. 💫 Set your alarm — I’ll reveal EVERYTHING today at 5 PM sharp ⏰ Can’t wait to finally spill it to you all! 🫶 🎥 Drop your guesses below! 👇👇👇 #personalcolor #personalcoloranalysis #personalcolormedan #personalcolorjakarta #modeling"
ajengptrn,post_120,"NGAPAIN PERSONAL COLOR? 💸 Aku juga punya pikiran kaya gitu kok, tapi emang kalian gak penasaran tuh shades foundation kalian apa? Biar gak kegelapan atau keterangan lagi. Gak penasaran lip shades terbaik yang bisa kamu pake? Biar gak neon dan bisa compliment fitur wajah & warna kulit kamu. Kupikir kemahalan TAPI ENGGA! Sekali seumur hidup cobain biar lebih paham apa barang dan warna yang terbaik yang bisa kamu pilih! It’s easier to find shades, outfit combo, even glasses & parfume!🤯✨ Ada banyak package yang ditawarin @colorharmony.id kok kalian bisa pilih sampe yang terlengkap ada konsul & makeover 🥰 Penyampaiannya mudah dimengerti, certified langsung dari Gangnam, Korea! Details banget aku suka dan untuk aku yang sehari-hari mainan warna ini jelas banget sampe aku banyak “woaaaah” wkakwkak Ada yang ajak temennya, saudara bahkan sekeluarga dateng. Karena memang tiap orang bisa berbeda-beda loh personal color-nya meskipun 1 keluarga. Menarik ya? Komen tag temen atau keluarga kalian yang mau kalian ajak kesini! 😆❤️✨"
ajengptrn,post_121,"[SAVE N SHARE!!] Biar douyin lips berhasil.. ini tipsnya!! 1. Pucetin / ratain warna bibir pakai concealer atau base lipcream. Jangan terlalu banyak produk tapi yaaaa 2. Conceal area luar bibir biar membentuk bibir yg pouty & full ditengah! 3. Pakai lipcreamnya dikit aja yaaa aku langsung pake lipcream merah karena kalo diblend dia akan pudar warnanya!! Ini lipcoat @blpbeauty shade Bloody Mary 4. Blendnya lipcream dulu, usahain pake brush! Jangan dikatup bibirnya! Karena nanti berantakann🫠 5. As you can see lipcreamnya jadi tebel kann makanya aku blend concealer diluar setelahnya! Bikin lebih pink, ngeblurr & pudar jadinya! Gapapa! Ingat less is more 🤏🏼😆 6. Kalian bisa tambahin lipgloss bening atau kalo mau lebih ‘full’ pake yg ada warnanya! Glossnya dari BLP juga ya ini Lip Vinyl shade Glass ✨👌 Komen dong kalian berhasil atau gagal bikin douyin lips!? Rumit ya yuyur 🤣🤣 tapi hasilnya beda kan dari ombre biasa?? 😆✨"
ajengptrn,post_122,"[SAVE THIS] Pas ngintip tutorial MUA yang aku follow, fomo banget kalo aku gapunya juga! Wkwkwk jadi ketagihan dehh karena satisfying bgt😂🤌🥰 @everlaskin Refine gentle aqua gel ya namanya, boleh cek review di e-commerce juga! Emang bagus nih produk ga bikin iritasi karena sensitive skin loving 🥰🤗 Meski gak suka makeup tebel, sesekali exfo kulit kalian pake produk yg gentle kaya gini! Supaya kotoran yg byumbat pori keangkat sekaligus sama sel kulit mati! 💖"
ajengptrn,post_123,"Cara test kaya gini tuh… bener juga ya😂 Bahkan yg kupake tinted lipbalm REKA juga yg creamy & melt! Ternyata bisa se-stay itu 😳 Lagi rame cara ngetest powder dengan cara pakai lipstick (di compare) dan hasilnya memang seadanya seperti itu ya 🙆🏻‍♀️✨ Kecil kecil cabe rawit sih ini @rekacosmetics mana namain produknya In Real Life Skin Filter, yang mana aku setuju!! Sangat blurr, halus dan bisa nahan base makeup bawahnya lebih lama 💗 Udah cobain belom? Sampe ko Philips bahas terus di tiktok loh ini! Cobainnnn deh!✨💗 #rekaloosepowder #produkviral #loosepowder #makeuphacks"
ajengptrn,post_124,"Sesekali boleh lah main ke @mvs.nails buat coba treatment FOOTSPA! Karena worth it sihhh ini bener-bener bersih, lembab, halus banget kakiku!! Somehow aga cerahan juga ga siii? 😗👍 Footlogic treatment harganya 200K lebih dikit, tapi LENGKAP BANGET!! Kalau mau yang lebih affordable tapi hasil juga oke, cobain Footspa by Kumi di harga 100K-an! Cusss treatment disini @mvs.nails TAPI jangan lupa appointment dulu ya! 🙆🏻‍♀️💗🫶🏻✨"
jhonrchristhoper,post_125,"Okay, it’s time for me to explain the reason behind the IKEA funnel that I used as a dripper for @amadeoyurcel to compete in the IBRC yesterday, so I don’t need to explain one by one the DMs from my friends 🤣. So last year when the regional ICE LEAGUE was going to run, I thought about what dripper I could use for each competitor I trained. I love innovation, new drippers and new brewing techniques. However, I feel that the price of new drippers is getting more expensive, while many baristas in Indonesia have to save up to buy new drippers, so that is a problem that must be solved. Many may not know that barista salaries in Indonesia are low. Let alone buying competition coffee, buying a dripper that costs more than 500,000 rupiah is already a burden for them. Then one day when @mandiesoengkono and I were shopping at IKEA, my eyes were drawn to a bright yellow object on the shelf. After I looked closely, it turned out to be a multi-purpose funnel. I was initially interested because the color was yellow, the same as the @fugolcoffeeroasters logo. However, after I looked again, I realized that this funnel has a similar angle of inclination to a UFO dripper. THE PRICE IS VERY CHEAP, ONLY 20,000 rupiah! I immediately took a lot, but at that time Mandie doubted whether it could really be used for the competition. I felt challenged, I bought it and tried to prove that it could work. Some friends just laughed and thought I was joking when I said I would use this funnel for the competition. Well the rest is history. Deo made it to the national finals using this! 🤣🤣🤣 Thank you for the enthusiasm and support from all my friends, hopefully there will continue to be new innovations in the world of brewing."
jhonrchristhoper,post_126,"Puji syukur dan dimuliakanlah nama Tuhan Yesus atas hasil yang @mandiesoengkono dapatkan di World Cup Tasters Championship Athens 2023. Tuhan begitu bermurah hati kepada Mandie sehingga memberikan rank 2 world. Di tengah segala kondisi yang tak menentu, dan banyak tantangan yang kami hadapi sehingga Mandie akhirnya harus berangkat sendiri tanpa gw. Hal ini merupakan hal yang sangat berat bagi diri gw karena gw merasa gak mungkin ninggalin Mandie sendirian disana. Namun kenyataan harus dihadapi, dia tetap harus berangkat dan bertanding apapun kondisinya and the rest is history. Terima kasih kepada @aksi_scai @daryantowitarsa dan segala volunteer Indonesia yang berhasil mengadakan kompetisi nasional dengan standar yang tinggi dan bisa mensupport Mandie hingga akhirnya bisa bertanding di Athena. Thanks juga kepada teman-teman Indonesia @yessyliaviolin @_hirosan @mikaeljasin @reyherbert sama cewe @p.vinsensius disana yang mau nemenin mandie ya haha. Thanks team support WCTC Bali @vitoadi @sensakoffie yang udah mau menjadi benteng takeshi untuk mandie. Latihan disana memberikan insight baru buat mandie dan terutama gw untuk tau kelemahan mandie sehingga bisa mengatur strategi. Thanks @muchfit @karakterkopi.denpasar saudara baru kami yang benar2 sangat suportif membantu persiapan kami di bali. Udah jadi kita geng takut istri kodonggggg 🤣 wkwkwk Thanks brother @korean_sca_trainer . We wouldn't be able to do it without the knowledge, passion, and prayers that you share with us. May your life always be an instrument of God's kingdom and glorify God always in this industry. God bless you. Thanks @nick.rozental for cheer and giving wisdom for mandie and sent me a picture that looks like a father and daughter haha! Thanks team @fugolcoffeeroasters kalian selalu yang terbaik! Thanks semua supportnya @tanatapcoffee @antoniusrichard @tikadwiputri @mirayudha @rockyrockers terima kasih! Apa pun juga yang kamu perbuat, perbuatlah dengan segenap hatimu seperti untuk Tuhan dan bukan untuk manusia. Kamu tahu, bahwa dari Tuhanlah kamu akan menerima bagian yang ditentukan bagimu sebagai upah. Kristus adalah tuan dan kamu hamba-Nya. Kolose 2 : 23-24"
jhonrchristhoper,post_127,"Holding and owning this trophy is like a dream. A dream that seems impossible at first but is real. Since knowing about the world brewers cup competition in 2015, seeing this trophy and imagining one day being able to hold and own it has become a goal. Who would have thought that we could bring this trophy back to Indonesia, especially to the city of Bandung. I am very blessed by God. Hopefully one day I can get a gold one 🙏"
jhonrchristhoper,post_128,"TIMBANGAN KOPI BISA ATUR FLOW RATE AIR! TIMEMORE SCALE BLACK MIRROR DUO @timemore.id @timemoreproducts Terimakasih pertama-tama untuk Timemore yang sudah berbaik hati mengirimkan scale canggih ini ke kepada kami. Hari ini kita mau bahas salah satu timbangan kopi yang bisa bantu kamu seduh kopi dengan lebih presisi, TIMEMORE BLACK MIRROR DUO! Pernah nggak sih, beli beans mahal tapi rasanya nggak maksimal pas diseduh di rumah? Atau rasa seduhan kurang optimal? Bisa jadi jawabannya ada di flow rate air. Apakah tuangannya udah stabil? Flow Rate air ternyata bisa memengaruhi hasil seduhanmu! Nah, TIMEMORE BLACK DUO hadir bukan cuma sebagai timbangan biasa. Alat ini bisa bantu kamu pantau dan atur flow rate saat menuang air, fitur unik yang bikin seduhan lebih konsisten dan terukur. Yuk cek video selengkapnya di channel youtube fugol! #fugolcoffeeroasters #greatcoffeeforgreatpeople"
ryanwibawa,post_129,"“Each coffee has its own beauty that comes from its different regions, varietals, and processing methods. This cup will showcase how diversity in coffee can come together in harmony, just like all of us here. This will not only celebrate coffee’s potential but also my country’s spirit, Bhinneka Tunggal Ika, which means ‘Unity in Diversity.” Thank you, Chicago; you’ve been amazing to me. To the @worldcoffeechampionships , judges, and volunteers, thank you for your hard work and dedication. No matter where we come from, we are united by one thing: coffee. I’m grateful to share this tasting experience and Bhinneka Tunggal Ika on the world stage. This one is for Indonesia 🇮🇩 Congratulations to @martinwoelfl_mw, our 2024 World Brewers Cup Champion! You are amazing!! Lastly, the job is not done; it’s just beginning. Hopefully, with what I’ve achieved, I can bring a positive impact to my country and the coffee industry. “You are the salt of the earth. You are the light of the world. Let your light shine before others, so that may see your good works and give glory to your Father who is in heaven.” - Matthew 5:13-16 #bhinnekatunggalika 📷: @tonypramana @worldcoffeechampionships"
ryanwibawa,post_130,To God be the glory ✨
ryanwibawa,post_131,"“I’m reminded that what I do here is not only about me but representing everyone behind the coffee that I bring” I won’t be able to get through this alone; I’m able because of the great people surrounding me. To ko @daryantowitarsa , thank you so much for making this dream come true. Since day one, you asked me what my goal is, and I said I want to come back to the world stage, and you make it happens. Thank you for your support; this trophy I dedicated to you. You’re truly a leader and role model. To @astonutan , who always pushes me to become the best, always cares about me, and asks how I’m doing before I go to Chicago. Thank you so much; I won’t be able to get through this without your support. And also @ystanu , thank you for believing in me and giving me moral support before I went to the competition. Thank you so much! I owe so much to the three of you. 🙏🏻 To my family and especially my wife @sashaiguana ;who always prays for me, supports me in many ways. You’re the best; you’re my best support system. You always believe and keep telling me that I can, you believe in my dream. Thank you so much, and sorry for always making you cry in every announcement. 😆 To @emifukahori , you’re the best coach, truly the best. I really cherish the journey that we’ve made. I’ll remember this memory for my whole life. I couldn’t have done it without you. #brewtwice @commongroundsid family!! @yessyliaviolin @mikaeljasin @p.vinsensius @hakimazzam thank you for the help during preparation!! Also, to @mamespecialtycoffee , who roasts my Windy Ridge Geisha, @commongroundsid , who roasts my Ombligon, and @onwardcoffeecompany , who roasts my Excelsa; this is the unity in diversity that I didn’t mention in my presentation, but I’m so grateful to be able to work with you guys. And thank you @longboard_coffee @lohasbeans @fincadiviso @rainaldi for amazing coffee. #bhinnekatunggalika Thank you."
ryanwibawa,post_132,"Mau cappuccino yang creamy dan seimbang? Microfoam jadi kunci utamanya. Teknik steaming yang tepat bantu munculkan tekstur halus dan rasa alami dari susu. Pilih Hometown 100% fresh milk, tanpa tambahan gula & pengawet dan tentunya siap elevate rasa kopi kamu. @hometowndairy.id #GetHometown #PilihanParaBarista #TheFreshestandCreamiestMilkinTown"
robby.firlian,post_133,"Finally, with great excitement, we officially announce @robby.firlian as the Brand Ambassador for @Izensso.id & @vicenzaflavors. His passion, creativity, and dedication to the world of coffee truly reflect the values we uphold. This collaboration marks a bold step into the future, where innovation and creativity in the coffee world come together to create a truly exceptional experience. #RobbyFirlian #BrewWithPassion #Izensso #Vicenza #VicenzaSyrup #VicenzaGourmet #Raptor #CanonPro #Canon #MGICoffee #VicenzaIndonesia #IzenssoIndonesia"
robby.firlian,post_134,INDONESIA! 🇮🇩 #roadtobrazil #indonesia #latteart #champion #worldcoffeeevents #WLAC2018 #teamrobs
robby.firlian,post_135,INDONESIA goes to Semifinal !!! 🌈🔥🇮🇩 #godspeed #indonesia #latteart #champion #WLAC2018
robby.firlian,post_136,Simple pattern of the day #patternoftheday #potd #teamrobs #indonesialatteartchampion #wlac2018 #baristadaily #baristalife #latteart
robby.firlian,post_137,"Makasih ya @missiburoaster kopinya, enak! Btw kecepetan nih bikin kopinya, Istri gue masih belom kelar catokan sama make upnya 😖 #teamrobs #indonesialatteartchampion #wlac2018 #baristadaily #baristalife #latteart #champion #teamrobsxizennso #izensso #collaboration"
annabellwijono,post_138,レアチーズケーキ🧀🍰 | Japanese Cheese Cake✨ by Barista Jepang @annabellwijono • • • #cheesecake #rarecheesecake #japanesecheesecake #cakephotography #aestheticcake #cakeart #cakelover #japanesecake #foodphotography #foodstyling #dessertphotography #baristajepang
annabellwijono,post_139,Orange Coffee🍊☕️ *full recipe—> check my reels Ngga nyangka ternyata Jus Jeruk & Kopi itu enak banget lo guys! Sampai ketagihan tiap hari minum ini selama 2 minggu😭 • • • #kopi #jusjeruk #coffeegram #orangecoffee #kopipagi #kopiindonesia #resepkopi #kopilokal #kopienak #kopikekinian #foodphotography #drinkphotography #foodphotographyandstyling #baristajepang #coffeephotography
annabellwijono,post_140,"“Telur Gulung”💰2.000.000 IDR Indonesian Classic Dish: Egg Rolls served with high quality Tomato Sauce & Cheese Crème, garnished with Fried Garlic and a hint of Lemon Zest💁🏻‍♀️ 🍳📷 food & photos by @annabellwijono @bell.annabelll 🧑🏻‍💻edited by @jeremyelmer_ • • • #telurgulung #masakanindonesia #fancyfood #eggrolls #indonesianfood #indonesiafoodies #telur #influencersurabaya #foodphotography #foodphotos #foodphotographyandstyling #foodplating"
wilmpratamaa,post_141,tutorial - Story Jernih VN 📲 Pernah ga sih ? Kalian yang udah kualitas video bagus editing dan lainnya loh tapi kenapa masih burik bang ? Pengaturan dari export VN kalian apakah sudah beresolusi seimbang apa belum ? #tipsandtricks #sharingiscaring #carouselpost #nextlevelinstagram #typographyinsta #typographyinspired #garagarainstagram #typhographyindonesia #creativepost #typographyinsta #creativemultiplepost #creativeenthusiast #vscoindonesian #zonafotografi #mainsimple #shotonsony #bandung #lightroom #fromwhatisee #instacreative #somewheremagazine
wilmpratamaa,post_142,Nature Photography • Visual nature Dari perjalanan dengan jarak tempuh selama kurang lebih 40km melewati perjalanan darat dengan melalui perbukitan yang berkelak kelok 🍃 Menggunakan motoran dapet bonus vibes per kabutan yang epic dan udara dingin segar masyaallah. #creativeenthusiast #creativemultiplepost #typographyindonesia #creativepost #typographyinsta #garagarainstagram #instagramjournal #naturephotographer #natureaddict
wilmpratamaa,post_143,tutorial - Story No Burik 📲 Pernah ga sih ? Kalian yang udah kualitasnya foto bagus editing dan lainnya loh tapi kenapa masih burik bang ? Pengaturan dari akun instagram kalian apakah sudah ber resolusi tinggi apa belum ? #tipsandtricks #sharingiscaring #carouselpost #nextlevelinstagram #typographyinsta #typographyinspired #garagarainstagram #typhographyindonesia #creativepost #typographyinsta #creativemultiplepost #creativeenthusiast #vscoindonesian #zonafotografi #mainsimple #shotonsony #bandung #lightroom #fromwhatisee #instacreative #somewheremagazine
wilmpratamaa,post_144,"Abadikan momen sempurna dengan #GalaxyS25 Edge! Ringan, tipis, dan memiliki Kamera 200MP. #GalaxyS25 Edge dapat menghasilkan foto & video super tajam dan jernih, plus ada fitur LOG Video untuk hasil sinematik! Beli sekarang di samsung.com/id atau Samsung Store terdekat #GalaxyAI #BeyondSlim @samsungindonesia"
wilmpratamaa,post_145,"Hi, Kenalkan aku Will Mencoba untuk bisa berkembang kembali di instagram, yang sudah cukup tertinggal dari kawan2 lainnya. Semoga karya yang akan rilis dapat menginspirasi kawan kawan di sana yang sama terus untuk bertumbuh. Salam hangat, bg will #typographyinspired #aesthetic #photographer #garagarainstagram #natureofinstagram"
fuad.aliromadoni,post_146,"Curug Gomblang- Surga tersembunyi di kaki gunung Slamet - - Kembali ber-Multiplepost, setelah dipostingan sebelumnya kita sharing materi, Disini saya mencoba kembali ber-Multiplepost, walaupun sempet buntu konsep di pertengahan jalan, tapi akhirnya selesai juga, Alhamdulillah. . . #creativemood #creativepost_id #creativepost #creativepostindo #creative #mobilephotography #mobileediting #creativemultiplepost #creativeentusiast #creativity #creativefeeds #feedsinstagram #feedaesthetic #multiplepost #homeeditorid #wonderfullindonesia #pesonaindonesia #banyumaskeren #lightroomindonesia #lightrooms #picsart #picsartedit #pixellab #purwokertohunting #purwokertohitz #banyumashits #banyumasexplore #purwokertoonline #typografi #typhographyindonesia"
fuad.aliromadoni,post_147,"BUKIT JATISEWIT Inilah petualangan di akhir pekan kali ini, berkunjung ke bukit yang sangat indah, bukit Jatisewit. . . Selamat membaca dan silahkan tinggalkan like dan komen dibawah sebagai penyemangat dalam ngonten. . Sampai jumpa di feed selanjutnya. . . #shotonphone #garagarainstagram #semuatypography #duniatypografi #typographyindonesia #homeeditorid #homeeditorphoto #creativepost_id #creativemood #creativepost #creativepostindo #creativemultiplepost #typographydesign #typography #wonderfullindonesia #purwokertokeren #purwokertoonline #banyumas #cilongokhitz #lightroomindonesia #pixellab #shotonxiaomi #backtonature #naturevibes #naturephotography #mountains #bukit #purwokertohunting"
fuad.aliromadoni,post_148,"Halo guys sudah siap bertualang lewat multiplepost? Eh, ngga ngga, ini bukan postingan 'Adventure in Carousel' kali ini cuma postingan random biasa, hehe. Bisa dibilang, ini adalah Recap journey selama bulan Mei, walaupun ngga semua aku masukin si, soalnya di galeriku udah kebanyakan mentahan, sampe bingung milihnya 🗿 *Ngadain FTE seru kali ye? Hehe Btw, kalian ngerasa kalau bulan Mei itu berasa kek lama banget gasi? Buset, tanggalnya ga abis-abis☝️😞 #backtonature #kembalikealam #lovenature #instagrammagazine #instastoryideas #instacreativestories #madewithstories #instamagazine #creativeinstagrampost #creativepost #creativeenthusiast #creativemultiplepost #motopakehape #multiplepost #kolasefoto #lonely #journey #jateng #purwokertokeren #purwokerto"
fuad.aliromadoni,post_149,"Rencana Tuhan adalah sebaik-baik rencana, kita hanya bisa menyemogakan rencana kita, dan semoga 'Kamu' adalah bagian dari rencana Tuhan tersebut lok: Bukit Jatisewit htm: seikhlasnya kamu udah pernah ke Bukit Jatisewit belum? yakali tempat se keren ini ngga kamu datengin, rugi dong jangan lupa follow untuk konten menarik selanjutnya @fuad.aliromadoni @fuad.aliromadoni #lovepurwokerto #purwokertokeren #creativepost_id #purwokertoexplore #kembalikealam #creativeinstagrampost #kolase #sunrise #backtonature #bukitjatisewit"
fuad.aliromadoni,post_150,"nyatanya di umur 20an, apalagi 20an awal itu rasanya kaya susah aja buat nahan diri buat ngga ngejar validasi dari orang lain ngga di gunung, di kerjaan, masyarakat, semua berbondong-bondong mengejar validasi, padahal jika memang kebunmu memang penuh dengan bunga yang cantik, kamu gaperlu kok memetik dan menunjukkan bunga itu ke semua orang, mereka bakalan tau sendiri tanpa kamu susah payah ngejar validasi, mending fokus memperbaiki diri, iyakan aku nulis apaan dah guys? au ah semoga bermanfaat yaaa jangan lupa follow untuk postingan menarik selanjutnya @fuad.aliromadoni @fuad.aliromadoni #montainesia #pendakikeren #pendakiindonesia #kembalikealam #menitilangkah #creativemultiplepost #multiplepost #instagrammagazine #instacreative #sindoroviaalangalangsewu"
jefdasilvaaa,post_151,"Bingung mau nulis caption apa, intinya happy banget dikasih kepercayaan dan kesempatan jadi seorang ayah🥺 semoga laki-laki ini bisa selalu berjuang mengusahakan kebahagiaan kamu ya nak. thank you for all the support you guys given to us 🙏🏻 God bless! #creativemultiplepost #instamagazine #dailyjournal"
jefdasilvaaa,post_152,"Kenalin, INSTAX WIDE EVO! Kamera hybrid kece yang siap nemenin eksplorasi kreativitasmu dari @instaxindonesia Dengan fitur Lens Effect, Picture Style, dan Film Effect, kamu bisa bereksperimen sepuasnya buat hasil foto yang unik dan estetik. Mau vibe retro, klasik, atau modern? Semua bisa! Ditambah format wide, jadi makin puas ngabadikan momen-momen seru kalian. Jadi sudah siap to make every shot a masterpiece? Langsung cobain Instax Wide Evo sekarang ya! #InstaxIndonesia #InstaxWideEvo"
jefdasilvaaa,post_153,"Unboxing sesuatu yang bikin nostalgia, tapi tetap kece di zaman sekarang! Yes, let me show you Instax Wide Evo ✨ Kira-kira, fitur mana ni yang kalian suka? so jangan lama-lama, langsung aja beli Instax Wide Evo dan explore kreatifitas kalian 🔥 Make Every Shot a Masterpiece 📸 #InstaxIndonesia #InstaxWideEvo"
jefdasilvaaa,post_154,Bosen sama font yang itu-itu aja? hope it help you guys ✨ see ya! 🙌🏻 #fontrecommendation #typographyinspired #typographyindonesia #typogrammer #bagijurus #sharingiscaring
jefdasilvaaa,post_155,"Bikin efek teks gini cuma pake capcut? iya sih mesti pro, tapi ini gue nyoba bisa ga pro 😅 intinya hope it work and inspire you guys ✨ #bagijurus #typographyindonesia #tampildireels #sharingiscaring"
halohilda_,post_156,Sama tapi nggak sama👀 (mana Hilda yang asli?) #vlog
halohilda_,post_157,Kemana kita? #tamanbungahortensia #tamanbunga #batu #malang #jawatimur #travelling #wisataalam #nature #wisata #trip #terjangkau #wisataterjangkau
najhytlby_,post_158,"valid 💯 pesan untuk kamu yang menjaga diri dari “pacaran” : di perjalanan yang panjang ini , jangan jadi milik siapapun dulu yaa 🫵🏻, sampai kamu bertemu dengan orang yang tepat diwaktu yang tepat 🤗 #reminder #selfreminder #reels #reelsinstagram #quote #katakatabijak #note #katakata #aesthetics #trend #reelsintagram #ootdhijab #vsco #aesthetic #reels #ootd #hijrah #pacaran #istiqomah"
najhytlby_,post_159,"semoga ditengah riuhnya perkembangan zaman yang semakin menggila, kamu harus menjadi gadis manis yang mampu menjaga diri dengan baik, yang tidak menormalisasikan apa yang dilarang oleh agama, semoga hatimu terjaga dari hal-hal yang membuatmu hilang arah dan langkahmu tidak terus bergerak ke jalan yang tidak di ridhoi Allah swt. ib : kakak di vt #reminder #selfreminder #reels #reelsinstagram #quote #katakatabijak #note #katakata #aesthetics #trend #reelsintagram #ootdhijab #vsco #aesthetic #reels #ootd"
najhytlby_,post_160,valid no debat dah ini 🫵🏻🤣 #sky #skylovers #skyphotography #cloud #clouds #reelsinstagram #aesthetic #reelsvideo #trending #viralvideos #bluesky
najhytlby_,post_161,"Kadang kita gak sadar Yang bikin kita ngerasa kosong itu bukan karena kurang cinta dari manusia, tapi karena kita terlalu jauh dari Allah. Terlalu sibuk ngejar validasi, terlalu capek ngulang dosa yang sama, tapi gak pernah benar-benar nyamperin Dia. Padahal, rasa bersalah itu… bukti paling sunyi bahwa Allah masih manggil kamu pulang. Kamu pernah ngerasa gitu juga gak? Ceritain di komentar yaa🤗 #ceritaajasini #reminder #selfreminder #quotes #syukur #creativepost #creativemultiplepost #asikinfeedsmu #sharingiscaring #somewheremagazine #shootonphone #handinframe #humaninterestindonesia #redflags #explorepage #selflove #hijrah #reminderislamic #istiqomah"
najhytlby_,post_162,"Luka dari rumah, bukan alasan cari pelukan yang salah. Kesepian itu ujian—bukan pembenaran buat maksiat perlahan. Allah gak pernah abai. Jangan balas luka dengan dosa. Yang kamu butuh bukan pelarian, tapi pulang. Jangan cari pembenaran lagi ya kawan, aku lebih yakin kalau kamu sebenarnya tau arah yang tepat buat kembali. Kita jalan pelan-pelan yaaaa🫂🤗 #ceritaajasini #reminder #selfreminder #quotes #syukur #creativepost #creativemultiplepost #asikinfeedsmu #sharingiscaring #somewheremagazine #shootonphone #handinframe #humaninterestindonesia #redflags #explorepage #selflove #hijrah #reminderislamic #istiqomah"
satasyaaa,post_163,"01-06-2025💍🥺 “Ya Allah, seperti Rasulullah ﷺ yang penuh kasih sayang kepada Sayyidatuna Khadijah RA, yang selalu menghormati, melindungi, dan mencintainya dengan tulus, kami mohon limpahkanlah cinta dan rahmat-Mu dalam ikatan pernikahan ini. Jadikanlah kami suami istri yang saling menjaga, saling menguatkan, dan selalu berusaha menjalankan sunnah-Mu dalam membina keluarga yang sakinah, mawaddah, warahmah.” “Ya Rabb, ajarkanlah kami untuk mencintai pasangan kami bukan hanya karena dunia, tapi karena-Mu, sebagaimana Nabi mencintai Sayyidatuna Khadijah dengan penuh kesetiaan dan pengorbanan.” “Berikanlah kami kesabaran dan kelembutan hati dalam menghadapi setiap ujian, dan jadikanlah keluarga kami sumber keberkahan dan kebahagiaan di dunia dan akhirat.” Dan terima kasih kepada guru guru Rizky yang telah memberikan nasihat dan menjadi saksi pernikahan kami 🙏🏻🥺 @syababul.kheir @syaugialhabsyi_110 semoga Allah jaga para guru guru kami ya rabb, dimudahkan segala urusan dakwahnya aamiin🤍"
satasyaaa,post_164,Alhamdulillah ✨
satasyaaa,post_165,Luvvv 🤍🫶🏼✨ @dthree.co.id
satasyaaa,post_166,@lozyhijab 🫶🏼
satasyaaa,post_167,🤍 @dthree.co.id
sarah.nuruli,post_168,"koleksi Authentism gapernah gagal sihhh🥹🫶🏻 bahannya baguuusss banget, motifnya ga yang norakk, bener2 cantik banget looks nyaa, plis kepoin @authentism.id buat kamu yang lagi nyari hijab motif dan hijab poloss yang premiumm🫶🏻🫶🏻🫶🏻 #ootd #ootdhijab #hijabmotif #scraft"
sarah.nuruli,post_169,sehari bersama para ciwi ini di kebun rayaa🍃
sarah.nuruli,post_170,ada yang cantik cantik lagi dari @authentism.id ⋆˙⊹❀♡ #ootd #patternhijab
sarah.nuruli,post_171,outfit ku yang kali ini bisa jadi vest tapi bisa juga jadi totebag wkwkw lucu bangatt kan??! lagi lagi outfit gemesh ku ini dari @jilbrave.official ✨👀 • Dhiba Dress - Khaky (size s) • Yaffa Hijab Malay - Cotton Candy #ootd #ootdhijab #vest
sarah.nuruli,post_172,"kenalinnn yg aku pake ini The OG Liptint nya @storyofkula 🤍🍉 selain produknya super duper bagus, KULA juga sering bikin society movement kek ginii lohh✨ cuss kepoin @storyofkula 👀 #liptint #palestine #kulasocietymovement"
heidyrezky,post_173,"Walaupun hidup dar der dor ga karuan, Doa yang sama selalu dipanjatkan. Ada Amin Tetangga Mamakkkkkkk? 🎤"
heidyrezky,post_174,Seputar pertanyaaan yang muncul tentang trip 3D2N di Taman Nasional Tanjung Puting. Kalau ada pertanyaan lain jangan sungkan bertanya yah tetangga 🥰 #tanjungputing #tanjungputing_tourism #tanjungputingnationalpark #camplaekey #3D2Ntanjungputing #orangutan #orangutankalimantan
heidyrezky,post_175,"Kadang - kadang hidup gitu ya mak, ada satu moment rasanya pengen banget pasang status galau tapi hidupku lagi baik - baik aja 🤣🤭 Pasti mamak ga sendirian, ayoooo kalian ngakuuuu🤭"
heidyrezky,post_176,"Cape banget lihat isi galeri, maafkan kegabutan mamak yahhh 🤣🤭 selonjoran mulu di kamar alhasil membedah galeriiii🤭 Apakah ini sudah cocok untuk di film’kan 🤭"
heidyrezky,post_177,"Masih edisi liburan di tanjung puting, saat bersantai sore disepanjang sungai sekonyer selesai trekking di Camp Leakey. Anak - anak bernyanyi lagu kesukaan “Selalu Ada di Nadimu” bagaimana menurut onti dan uncle untuk penggalan lagu ini? Cukup memberikan nuansa baru bukan? sambil memandangi keindahan alam sekitar 🥰"
