instagram_account,post_caption,label_1
iman.indonesia,"Tulisan untuk @lastlovemii @nicetrymii @mitwooooooo & the next penerusnya Media sosial sering dianggap ruang bebas, tapi banyak yang lupa kalau kebebasan itu ada batasannya. Komentar di akun orang lain itu sama aja kayak masuk ke rumah mereka. Lo gak bisa asal nyelonong tanpa “ketok pintu” atau bilang “permisi”. Apalagi kalau yang lo sampein adalah komentar negatif yang sering kali lebih tajam dari kenyataan. Yang lebih ironis, orang yang paling sering ngehina biasanya gak pernah “ngaca diri”. Begitu dikritik balik, malah marah-marah, nyerang, atau buru-buru kunci akun. Bukannya kalau lo berani ngasih komentar, lo juga harus siap nerima balasan? Sebenernya, daripada lo buang energi buat nyinyir dan ngehina orang, kenapa gak fokus buat perbaiki diri sendiri? Rawat diri, olahraga, baca buku, atau lakuin sesuatu yang bikin lo lebih berkembang. Lo bakal kaget seberapa banyak hal positif yang bisa lo dapetin kalau lo berhenti sibuk ngurusin hidup orang lain. Pikiran lo bakal lebih terbuka, dan lo gak bakal gampang terjebak mentality iri atau dengki. Karena sering kali, komentar negatif itu lahir dari rasa kurang puas sama hidup sendiri, bukan karena kesalahan orang lain. Daripada sibuk ngejatuhin orang lain, kenapa gak pake energi itu buat bangun kebiasaan baik yang bisa bawa lo lebih jauh? Fokus ke diri sendiri itu bukan cuma bikin lo lebih bahagia, tapi juga bikin hidup lo lebih berarti. Ini bukan soal baper. Orang-orang seperti lo wajib disadarkan, karena perilaku kalian itu bakal ngasih efek buruk, bukan cuma buat yang lo hina, tapi juga buat lingkungan sosial media secara keseluruhan. Sosial media harusnya jadi tempat buat belajar, berbagi, dan berkembang, bukan ladang buat saling menjatuhkan. Kalau gak ada yang ngingetin, budaya toxic ini bakal terus dianggap normal. #tulisIman #imanpulungan #proudlybataknese #batakpride✨ #segasemigadun #segasehatgagah",brand awareness
iman.indonesia,"Setiap kali gw mau join alat di gym, selalu aja ada aja tipe orang yang langsung ngelototin duluan, kayak gw baru aja nyuri tempat duduknya. Padahal ini bukan private gym, ini tempat umum. Fasilitas bersama. Alatnya terbatas, member-nya banyak. Jadi wajar dong kalau sharing. Tapi tetep aja, masih ada orang yang bersikap kayak alat itu warisan nenek moyangnya. Begitu gw minta join, yang sebenernya hak semua member, ekspresi langsung berubah: jutek, marah, terus keluar jurus, “Gw masih pake, masih banyak set.” Ya terus kenapa? Lu kan juga ada waktu istirahat antar set. Nah, waktu lu rehat itu, gw bisa pake. Saling gantian itu hal paling dasar dalam etika nge-gym. Kalau semua orang egois, ya rusak sistemnya. Ini bukan tempat lu sendiri, ini ruang publik. Jadi kalau lu belum siap buat berbagi alat, kayaknya sih lu juga belum siap buat ada di gym. Atau mungkin lebih cocok sewa gym pribadi aja. Ingat: alat di gym itu bukan punya lu doang.",personal storytelling
iman.indonesia,"Hadirnya sebagian WNI di luar negeri yang alih-alih membawa citra positif bangsa, justru memperburuk persepsi publik negara setempat terhadap kita semua. Bukan karena mereka tak mampu secara finansial, tapi karena mereka tak siap secara mental dan sosial. Kelakuan yang tidak menghormati norma dan ketertiban publik, entah itu berteriak di ruang umum, berperilaku norak, atau merasa diri “berhak” mengekspresikan nasionalisme secara tidak pada tempatnya, adalah bentuk rendahnya kesadaran diri sebagai tamu di negara orang. Problemnya bukan pada aksi sesaat. Tapi pada kecacatan mental kolektif yang tidak membedakan antara ruang pribadi dan ruang publik, antara ekspresi diri dan gangguan sosial. Yang lebih mengganggu: ketika kritik dilontarkan, justru dibalas dengan pembelaan yang penuh emosi, seolah merasa kebebasan berekspresi adalah lisensi untuk mengabaikan tata krama. Pertanyaannya: mengapa kita begitu mudah keluar negeri, tapi gagal membawa standar perilaku minimum sebagai warga global? Apakah sudah waktunya kita mempertimbangkan bahwa syarat menjadi representatif di luar negeri tidak cukup hanya dengan paspor dan dana, tapi juga dengan etika, kontrol diri, dan kemampuan untuk membaca konteks budaya? Ini bukan soal membatasi orang pergi ke luar negeri. Tapi soal tanggung jawab. Karena perilaku individu di luar negeri akan selalu menjadi wajah kolektif bangsa. #tulisIman",personal storytelling
iman.indonesia,"Serum lo beneran ada vitamin C-nya atau cuma klaim manis doang? Buktiin aja sendiri di rumah dengan eksperimen sederhana. Gini caranya: 1. Siapin serum vitamin C yang lo mau tes 2. Siapin air putih secukupnya di wadah bening 3. Tetesin cairan iodine ke dalam air sampai warnanya oranye kecokelatan 4. Lalu tetesin serum vitamin C ke larutan tersebut 5. Aduk perlahan… dan perhatiin baik-baik Kalau larutannya berubah jadi bening, itu tanda ada vitamin C aktif di dalam serum lo. Soalnya vitamin C (ascorbic acid) itu antioksidan kuat, bisa “netralin” warna gelap dari iodine. Ini gw ngetes pakai @kiehlsid Kiehl’s Clearly Corrective Dark Spot Solution, serum activated vitamin C yang memang udah terkenal dengan kandungan vitamin C aktifnya dan bener aja, larutannya langsung bening! Catatan aja ya, ini bukan uji lab yang super detail, tapi lumayan bgt buat tahu apakah produk yang kita pakai itu bener-bener ngasih kandungan aktif atau cuma modal branding doang 😅 Bisa dicoba sendiri di rumah, seru dan bikin kita makin peka sama klaim skincare.",call-to-action
iman.indonesia,"Makan itu pilihan. Tapi hasilnya nggak bisa dipilih seenaknya.” 📌 Clean eating mode ON Kulit bening, badan enteng, energi stabil. Makan sayur, protein cukup, gula & gorengan dibatasi. 📌 Makan bebas tanpa rem Jerawat muncul, badan bloated, nambah berat tanpa sadar. Minum manis tiap hari, junk food jadi camilan. Nggak harus makan rebus terus, tapi kalau tiap hari junk food terus… jangan kaget kalau badan protes.",personal storytelling
nitaoktarr,Do good even if not perfect.✨ Whatever the challenge be yourself. 🤍 #dontjudge #dontmanipulate,personal storytelling
nitaoktarr,@stellarissa for @dewimag @jfwofficial 2023🖤 Choreographed by mas @panca_m #jfw #runway #catwalk,no meaningful message
nitaoktarr,"Hey everyone! I’m back! 👋👋 Thank you sooo much ya buat support yang udah kalian kasih untuk aku. Muchas gracias buat supportive comments and DMs yang kalian kirim buat aku selama ini. I’m so sorry belum bisa ngasih performa terbaik di episode kali ini.. 🥺 But I am sooo happy being part of Indonesia’s Next Top Model Cycle 2. Aku sangat bersyukur untuk semua ilmu dan pengalaman yang aku pelajari selama masa karantina. From bottom two, and finally got FCO was like roller coaster for me! I was super nervous at the first episode, tapi alhamdulillah aku bisa terus fokus dengan tujuan dan diriku sendiri sampai diposisi sekarang. Yeay!! My support system Mamah Papah Makasih selalu menguatkan dan mempercayai aku. Love you 💕 Thank you mentors Kak @lunamaya kak @ganegani Kak @panca_m and also kak @ivan_gunawan untuk semua masukan dan arahan yang pasti bermanfaat banget buat aku kedepannya. 🤗🤗Thank you  team @intm_nettv , juga team make up, wardrobe dll sudah memberikan yg terbaik untuk penampilan aku lebih stand out. 🥰🥰 And i would like to say thank you banget banget buat yg bikin @nitaoktarrcetar @nita.intm @teamnita_intmc2 hahahaha kalian baik banget Love!❤ Thank youuu. To my beloved girls @odddyy20 @faradinamaliaa @helenhiuu @sarahtumiwa @alfirdalifia @evannywityo @peacejemima @tiffany_jolie semangaaat! Kasih yg terbaik yaaa, see you guys on top!! Fashion stylist @nikomridwan Photographer @abimanyu_arif And team @ratna_ind",personal storytelling
nitaoktarr,@superstarweddingexhibition at Sudirman Grand Ballroom 28-29 June 2025 ✨ Makeup @rizkiiicanmua X @ayungberinda Attire @ayungberinda #weddingdress #makeup #exhibition,no meaningful message
nitaoktarr,@thesecretworldofran for @indonesiafashionweekofficial ✨ @jimmodels #runway #fashion #model #catwalk #indonesiafashionweek,no meaningful message
tiffanyfani,Tungguin eksklusif interview di @tonightshow_net ✨ Happy banget bisa ketemu langsung sama @nanon_korapat yang super multitalented🥹 kalau da senyum tuh🫠🫠 gemes😌😌 duhhh bahaya nih ka @bellakanigara setiap interview nambah bias mulu yang ada🤣🤣 #nanon_korapat #nanon1stsolofanconjkt,personal storytelling
tiffanyfani,"\Pain is never permanent, but tonight is killing me.\You know it won't gonna last forever. It's okay to feel that pain in that moment✨ Senang banget dapat kesempatan interview bareng member Neck Deep. They are so friendly btw terutama Ben vocalistnya 🥹 Berkat kesempatan ini aku jdi dengar lagu dari mereka. Ternyata ga yang serock dari keliatannya dan bagus2 lagunya.. #tonightshow #neckdeep",personal storytelling
tiffanyfani,"First time!!🥹Thankyou @tonightshow_net da kasih kesempatan interview boyband korea @trendz_offcl ✨ One of my wishlist come true🥺🫶🏼✨ pas tahun 2016 pernah nulis resolusi 5 tahun kedepan bisa ada di posisi ini🥹 and now I have that chance🥹🙏🏼✨ awalnya sempat ragu apa aku bisa ga ya🥺 tapi aku pikirnya why not yg penting pelajarin dan berikan yang terbaik💪🏼 Hopefully Friendz bisa happy juga ya dengan adanya interview ini🫰🏻 All the members are so friendly btw🥹 Bangun subuh demi hafal portfolio Trendz jadinya nambah bias deh akunya😅 Bias aku ada di slide 8🙈 Pas awal2 sampai tangan ku geter sangking ga nyangka aja gt🥲 tapi berusaha ttap cool pdhal jantungnya da dugun dugun🥲 sampai pas dibagi album kedapetan yg kasih ke aku tuh si Eunil dong🫠 wahhh sampai ngomong aja ga bener🥲 sblum aku ambil video aku izin dulu kan ke member.. masak aku bilang \I take the video gpp?\"" 😂😂 Fany fany kalau kaget jangan sampai gt juga ga si😌 But yeah over all ini pengalaman yg tak terlupakan🫰🏻 Dari fto keliatan kan ya seberapa bahagianya diriku ini😌 Ditunggu video btsnya yaa~ 수고했어 @trendz_offcl 만나서 반가워요~~ #trendz #kpop #트렌드지""",personal storytelling
tiffanyfani,"Ga pernah segitunya untuk war tiket🥲 Kemaren pas tau jadwal war ticket, langsung kagett gett get kok bisa pas banget jadwal war tiket fansmeet bogum n konser NCT berbarengan di hari yang sama. Dilema banget kalau suruh pilih yang mana. Bogum tuh di tahta pertama idola TiffanyZ. Sedangkan NCT yang selalu memotivasi dri dlu pas pandemi. Masing-masing tuh penting. Jadilah deg2annya tuh double hari ini😭 Tapi hari ini tuh diajarin untuk selalu bersyukur dengan apa yang sudah kita dapatkan. Ya namanya manusia selalu ga puas apalagi ga sesuai dengan plan kita diawal. Rasanya tuh kecewa campur aduk tapi semua itu ada hikmahnya ges. Semua akan indah kalau memang itu rejekimu y rejekimu🙌🏼 Sekian. #fangirlingmode #parkbogum #tds4 #nctdream",personal storytelling
tiffanyfani,"✨ 10 years in the making... Today, I’m finally ready to share something very personal. A dream I’ve carried even before Haengun was born — and it’s about to come true. 😭💖 12 years in the modeling & entertainment industry have shaped this vision, and now... it’s finally happening. Any guesses what this project might be? 👀 Hint: It’s connected to my journey, my passion, and my love for helping others build confidence — especially kids. 💫 Set your alarm — I’ll reveal EVERYTHING today at 5 PM sharp ⏰ Can’t wait to finally spill it to you all! 🫶 🎥 Drop your guesses below! 👇👇👇 #personalcolor #personalcoloranalysis #personalcolormedan #personalcolorjakarta #modeling",personal storytelling
ajengptrn,"NGAPAIN PERSONAL COLOR? 💸 Aku juga punya pikiran kaya gitu kok, tapi emang kalian gak penasaran tuh shades foundation kalian apa? Biar gak kegelapan atau keterangan lagi. Gak penasaran lip shades terbaik yang bisa kamu pake? Biar gak neon dan bisa compliment fitur wajah & warna kulit kamu. Kupikir kemahalan TAPI ENGGA! Sekali seumur hidup cobain biar lebih paham apa barang dan warna yang terbaik yang bisa kamu pilih! It’s easier to find shades, outfit combo, even glasses & parfume!🤯✨ Ada banyak package yang ditawarin @colorharmony.id kok kalian bisa pilih sampe yang terlengkap ada konsul & makeover 🥰 Penyampaiannya mudah dimengerti, certified langsung dari Gangnam, Korea! Details banget aku suka dan untuk aku yang sehari-hari mainan warna ini jelas banget sampe aku banyak “woaaaah” wkakwkak Ada yang ajak temennya, saudara bahkan sekeluarga dateng. Karena memang tiap orang bisa berbeda-beda loh personal color-nya meskipun 1 keluarga. Menarik ya? Komen tag temen atau keluarga kalian yang mau kalian ajak kesini! 😆❤️✨",call-to-action
ajengptrn,"[SAVE N SHARE!!] Biar douyin lips berhasil.. ini tipsnya!! 1. Pucetin / ratain warna bibir pakai concealer atau base lipcream. Jangan terlalu banyak produk tapi yaaaa 2. Conceal area luar bibir biar membentuk bibir yg pouty & full ditengah! 3. Pakai lipcreamnya dikit aja yaaa aku langsung pake lipcream merah karena kalo diblend dia akan pudar warnanya!! Ini lipcoat @blpbeauty shade Bloody Mary 4. Blendnya lipcream dulu, usahain pake brush! Jangan dikatup bibirnya! Karena nanti berantakann🫠 5. As you can see lipcreamnya jadi tebel kann makanya aku blend concealer diluar setelahnya! Bikin lebih pink, ngeblurr & pudar jadinya! Gapapa! Ingat less is more 🤏🏼😆 6. Kalian bisa tambahin lipgloss bening atau kalo mau lebih ‘full’ pake yg ada warnanya! Glossnya dari BLP juga ya ini Lip Vinyl shade Glass ✨👌 Komen dong kalian berhasil atau gagal bikin douyin lips!? Rumit ya yuyur 🤣🤣 tapi hasilnya beda kan dari ombre biasa?? 😆✨",call-to-action
ajengptrn,"[SAVE THIS] Pas ngintip tutorial MUA yang aku follow, fomo banget kalo aku gapunya juga! Wkwkwk jadi ketagihan dehh karena satisfying bgt😂🤌🥰 @everlaskin Refine gentle aqua gel ya namanya, boleh cek review di e-commerce juga! Emang bagus nih produk ga bikin iritasi karena sensitive skin loving 🥰🤗 Meski gak suka makeup tebel, sesekali exfo kulit kalian pake produk yg gentle kaya gini! Supaya kotoran yg byumbat pori keangkat sekaligus sama sel kulit mati! 💖",call-to-action
ajengptrn,"Cara test kaya gini tuh… bener juga ya😂 Bahkan yg kupake tinted lipbalm REKA juga yg creamy & melt! Ternyata bisa se-stay itu 😳 Lagi rame cara ngetest powder dengan cara pakai lipstick (di compare) dan hasilnya memang seadanya seperti itu ya 🙆🏻‍♀️✨ Kecil kecil cabe rawit sih ini @rekacosmetics mana namain produknya In Real Life Skin Filter, yang mana aku setuju!! Sangat blurr, halus dan bisa nahan base makeup bawahnya lebih lama 💗 Udah cobain belom? Sampe ko Philips bahas terus di tiktok loh ini! Cobainnnn deh!✨💗 #rekaloosepowder #produkviral #loosepowder #makeuphacks",call-to-action
ajengptrn,"Sesekali boleh lah main ke @mvs.nails buat coba treatment FOOTSPA! Karena worth it sihhh ini bener-bener bersih, lembab, halus banget kakiku!! Somehow aga cerahan juga ga siii? 😗👍 Footlogic treatment harganya 200K lebih dikit, tapi LENGKAP BANGET!! Kalau mau yang lebih affordable tapi hasil juga oke, cobain Footspa by Kumi di harga 100K-an! Cusss treatment disini @mvs.nails TAPI jangan lupa appointment dulu ya! 🙆🏻‍♀️💗🫶🏻✨",call-to-action
jhonrchristhoper,"Okay, it’s time for me to explain the reason behind the IKEA funnel that I used as a dripper for @amadeoyurcel to compete in the IBRC yesterday, so I don’t need to explain one by one the DMs from my friends 🤣. So last year when the regional ICE LEAGUE was going to run, I thought about what dripper I could use for each competitor I trained. I love innovation, new drippers and new brewing techniques. However, I feel that the price of new drippers is getting more expensive, while many baristas in Indonesia have to save up to buy new drippers, so that is a problem that must be solved. Many may not know that barista salaries in Indonesia are low. Let alone buying competition coffee, buying a dripper that costs more than 500,000 rupiah is already a burden for them. Then one day when @mandiesoengkono and I were shopping at IKEA, my eyes were drawn to a bright yellow object on the shelf. After I looked closely, it turned out to be a multi-purpose funnel. I was initially interested because the color was yellow, the same as the @fugolcoffeeroasters logo. However, after I looked again, I realized that this funnel has a similar angle of inclination to a UFO dripper. THE PRICE IS VERY CHEAP, ONLY 20,000 rupiah! I immediately took a lot, but at that time Mandie doubted whether it could really be used for the competition. I felt challenged, I bought it and tried to prove that it could work. Some friends just laughed and thought I was joking when I said I would use this funnel for the competition. Well the rest is history. Deo made it to the national finals using this! 🤣🤣🤣 Thank you for the enthusiasm and support from all my friends, hopefully there will continue to be new innovations in the world of brewing.",personal storytelling
jhonrchristhoper,"Puji syukur dan dimuliakanlah nama Tuhan Yesus atas hasil yang @mandiesoengkono dapatkan di World Cup Tasters Championship Athens 2023. Tuhan begitu bermurah hati kepada Mandie sehingga memberikan rank 2 world. Di tengah segala kondisi yang tak menentu, dan banyak tantangan yang kami hadapi sehingga Mandie akhirnya harus berangkat sendiri tanpa gw. Hal ini merupakan hal yang sangat berat bagi diri gw karena gw merasa gak mungkin ninggalin Mandie sendirian disana. Namun kenyataan harus dihadapi, dia tetap harus berangkat dan bertanding apapun kondisinya and the rest is history. Terima kasih kepada @aksi_scai @daryantowitarsa dan segala volunteer Indonesia yang berhasil mengadakan kompetisi nasional dengan standar yang tinggi dan bisa mensupport Mandie hingga akhirnya bisa bertanding di Athena. Thanks juga kepada teman-teman Indonesia @yessyliaviolin @_hirosan @mikaeljasin @reyherbert sama cewe @p.vinsensius disana yang mau nemenin mandie ya haha. Thanks team support WCTC Bali @vitoadi @sensakoffie yang udah mau menjadi benteng takeshi untuk mandie. Latihan disana memberikan insight baru buat mandie dan terutama gw untuk tau kelemahan mandie sehingga bisa mengatur strategi. Thanks @muchfit @karakterkopi.denpasar saudara baru kami yang benar2 sangat suportif membantu persiapan kami di bali. Udah jadi kita geng takut istri kodonggggg 🤣 wkwkwk Thanks brother @korean_sca_trainer . We wouldn't be able to do it without the knowledge, passion, and prayers that you share with us. May your life always be an instrument of God's kingdom and glorify God always in this industry. God bless you. Thanks @nick.rozental for cheer and giving wisdom for mandie and sent me a picture that looks like a father and daughter haha! Thanks team @fugolcoffeeroasters kalian selalu yang terbaik! Thanks semua supportnya @tanatapcoffee @antoniusrichard @tikadwiputri @mirayudha @rockyrockers terima kasih! Apa pun juga yang kamu perbuat, perbuatlah dengan segenap hatimu seperti untuk Tuhan dan bukan untuk manusia. Kamu tahu, bahwa dari Tuhanlah kamu akan menerima bagian yang ditentukan bagimu sebagai upah. Kristus adalah tuan dan kamu hamba-Nya. Kolose 2 : 23-24",personal storytelling
jhonrchristhoper,"Hari ini kita akan bahas sesuatu yang sering dianggap simple tapi punya pengaruh besar dalam hasil akhir seduhan kopi, yaitu paper filter! Di video ini, kita akan membandingkan tiga varian dari seri CAFEC TH—yaitu TH1, TH2, dan TH3. Masing-masing filter dirancang dengan struktur dan karakteristik berbeda yang memengaruhi laju aliran air, ekstraksi, dan tentunya hasil akhir seduhan. Kalau kamu masih bingung pilih filter mana yang cocok buat gaya seduh kamu, video ini bisa jadi panduan penting. Kita bahas lengkap mulai dari struktur kertas, proses pembuatannya, hingga hasil seduhannya. (ADA KUIS BERHADIAH) Pastikan nonton sampai habis, karena di akhir video ada kuis seru seputar topik yang kita bahas hari ini. - Buat yang mau ikutan, tulis jawaban kamu di kolom komentar - Akan ada 5 pemenang beruntung yang masing-masing akan mendapatkan 1 pack beans Fugol, langsung dikirim ke rumah kalian. Jadi, jangan sampai kelewatan ya! Tonton video selanjutnya di YouTube Fugol dan temukan paper filter yang paling pas untuk kamu menyeduh! #fugolcoffeeroasters #greatcoffeeforgreatpeople",personal storytelling
jhonrchristhoper,"TIMBANGAN KOPI BISA ATUR FLOW RATE AIR! TIMEMORE SCALE BLACK MIRROR DUO @timemore.id @timemoreproducts Terimakasih pertama-tama untuk Timemore yang sudah berbaik hati mengirimkan scale canggih ini ke kepada kami. Hari ini kita mau bahas salah satu timbangan kopi yang bisa bantu kamu seduh kopi dengan lebih presisi, TIMEMORE BLACK MIRROR DUO! Pernah nggak sih, beli beans mahal tapi rasanya nggak maksimal pas diseduh di rumah? Atau rasa seduhan kurang optimal? Bisa jadi jawabannya ada di flow rate air. Apakah tuangannya udah stabil? Flow Rate air ternyata bisa memengaruhi hasil seduhanmu! Nah, TIMEMORE BLACK DUO hadir bukan cuma sebagai timbangan biasa. Alat ini bisa bantu kamu pantau dan atur flow rate saat menuang air, fitur unik yang bikin seduhan lebih konsisten dan terukur. Yuk cek video selengkapnya di channel youtube fugol! #fugolcoffeeroasters #greatcoffeeforgreatpeople",call-to-action
ryanwibawa,"“Each coffee has its own beauty that comes from its different regions, varietals, and processing methods. This cup will showcase how diversity in coffee can come together in harmony, just like all of us here. This will not only celebrate coffee’s potential but also my country’s spirit, Bhinneka Tunggal Ika, which means ‘Unity in Diversity.” Thank you, Chicago; you’ve been amazing to me. To the @worldcoffeechampionships , judges, and volunteers, thank you for your hard work and dedication. No matter where we come from, we are united by one thing: coffee. I’m grateful to share this tasting experience and Bhinneka Tunggal Ika on the world stage. This one is for Indonesia 🇮🇩 Congratulations to @martinwoelfl_mw, our 2024 World Brewers Cup Champion! You are amazing!! Lastly, the job is not done; it’s just beginning. Hopefully, with what I’ve achieved, I can bring a positive impact to my country and the coffee industry. “You are the salt of the earth. You are the light of the world. Let your light shine before others, so that may see your good works and give glory to your Father who is in heaven.” - Matthew 5:13-16 #bhinnekatunggalika 📷: @tonypramana @worldcoffeechampionships",personal storytelling
ryanwibawa,To God be the glory ✨,no meaningful message
ryanwibawa,"“I’m reminded that what I do here is not only about me but representing everyone behind the coffee that I bring” I won’t be able to get through this alone; I’m able because of the great people surrounding me. To ko @daryantowitarsa , thank you so much for making this dream come true. Since day one, you asked me what my goal is, and I said I want to come back to the world stage, and you make it happens. Thank you for your support; this trophy I dedicated to you. You’re truly a leader and role model. To @astonutan , who always pushes me to become the best, always cares about me, and asks how I’m doing before I go to Chicago. Thank you so much; I won’t be able to get through this without your support. And also @ystanu , thank you for believing in me and giving me moral support before I went to the competition. Thank you so much! I owe so much to the three of you. 🙏🏻 To my family and especially my wife @sashaiguana ;who always prays for me, supports me in many ways. You’re the best; you’re my best support system. You always believe and keep telling me that I can, you believe in my dream. Thank you so much, and sorry for always making you cry in every announcement. 😆 To @emifukahori , you’re the best coach, truly the best. I really cherish the journey that we’ve made. I’ll remember this memory for my whole life. I couldn’t have done it without you. #brewtwice @commongroundsid family!! @yessyliaviolin @mikaeljasin @p.vinsensius @hakimazzam thank you for the help during preparation!! Also, to @mamespecialtycoffee , who roasts my Windy Ridge Geisha, @commongroundsid , who roasts my Ombligon, and @onwardcoffeecompany , who roasts my Excelsa; this is the unity in diversity that I didn’t mention in my presentation, but I’m so grateful to be able to work with you guys. And thank you @longboard_coffee @lohasbeans @fincadiviso @rainaldi for amazing coffee. #bhinnekatunggalika Thank you.",personal storytelling
ryanwibawa,"Mau cappuccino yang creamy dan seimbang? Microfoam jadi kunci utamanya. Teknik steaming yang tepat bantu munculkan tekstur halus dan rasa alami dari susu. Pilih Hometown 100% fresh milk, tanpa tambahan gula & pengawet dan tentunya siap elevate rasa kopi kamu. @hometowndairy.id #GetHometown #PilihanParaBarista #TheFreshestandCreamiestMilkinTown",engagement-inviting
robby.firlian,"Finally, with great excitement, we officially announce @robby.firlian as the Brand Ambassador for @Izensso.id & @vicenzaflavors. His passion, creativity, and dedication to the world of coffee truly reflect the values we uphold. This collaboration marks a bold step into the future, where innovation and creativity in the coffee world come together to create a truly exceptional experience. #RobbyFirlian #BrewWithPassion #Izensso #Vicenza #VicenzaSyrup #VicenzaGourmet #Raptor #CanonPro #Canon #MGICoffee #VicenzaIndonesia #IzenssoIndonesia",product-focused
robby.firlian,INDONESIA! 🇮🇩 #roadtobrazil #indonesia #latteart #champion #worldcoffeeevents #WLAC2018 #teamrobs,personal storytelling
robby.firlian,INDONESIA goes to Semifinal !!! 🌈🔥🇮🇩 #godspeed #indonesia #latteart #champion #WLAC2018,no meaningful message
robby.firlian,Simple pattern of the day #patternoftheday #potd #teamrobs #indonesialatteartchampion #wlac2018 #baristadaily #baristalife #latteart,no meaningful message
robby.firlian,"Makasih ya @missiburoaster kopinya, enak! Btw kecepetan nih bikin kopinya, Istri gue masih belom kelar catokan sama make upnya 😖 #teamrobs #indonesialatteartchampion #wlac2018 #baristadaily #baristalife #latteart #champion #teamrobsxizennso #izensso #collaboration",product-focused
annabellwijono,レアチーズケーキ🧀🍰 | Japanese Cheese Cake✨ by Barista Jepang @annabellwijono • • • #cheesecake #rarecheesecake #japanesecheesecake #cakephotography #aestheticcake #cakeart #cakelover #japanesecake #foodphotography #foodstyling #dessertphotography #baristajepang,no meaningful message
annabellwijono,Orange Coffee🍊☕️ *full recipe—> check my reels Ngga nyangka ternyata Jus Jeruk & Kopi itu enak banget lo guys! Sampai ketagihan tiap hari minum ini selama 2 minggu😭 • • • #kopi #jusjeruk #coffeegram #orangecoffee #kopipagi #kopiindonesia #resepkopi #kopilokal #kopienak #kopikekinian #foodphotography #drinkphotography #foodphotographyandstyling #baristajepang #coffeephotography,product-focused
annabellwijono,"“Telur Gulung”💰2.000.000 IDR Indonesian Classic Dish: Egg Rolls served with high quality Tomato Sauce & Cheese Crème, garnished with Fried Garlic and a hint of Lemon Zest💁🏻‍♀️ 🍳📷 food & photos by @annabellwijono @bell.annabelll 🧑🏻‍💻edited by @jeremyelmer_ • • • #telurgulung #masakanindonesia #fancyfood #eggrolls #indonesianfood #indonesiafoodies #telur #influencersurabaya #foodphotography #foodphotos #foodphotographyandstyling #foodplating",product-focused
wilmpratamaa,tutorial - Story Jernih VN 📲 Pernah ga sih ? Kalian yang udah kualitas video bagus editing dan lainnya loh tapi kenapa masih burik bang ? Pengaturan dari export VN kalian apakah sudah beresolusi seimbang apa belum ? #tipsandtricks #sharingiscaring #carouselpost #nextlevelinstagram #typographyinsta #typographyinspired #garagarainstagram #typhographyindonesia #creativepost #typographyinsta #creativemultiplepost #creativeenthusiast #vscoindonesian #zonafotografi #mainsimple #shotonsony #bandung #lightroom #fromwhatisee #instacreative #somewheremagazine,personal storytelling
wilmpratamaa,Nature Photography • Visual nature Dari perjalanan dengan jarak tempuh selama kurang lebih 40km melewati perjalanan darat dengan melalui perbukitan yang berkelak kelok 🍃 Menggunakan motoran dapet bonus vibes per kabutan yang epic dan udara dingin segar masyaallah. #creativeenthusiast #creativemultiplepost #typographyindonesia #creativepost #typographyinsta #garagarainstagram #instagramjournal #naturephotographer #natureaddict,personal storytelling
wilmpratamaa,tutorial - Story No Burik 📲 Pernah ga sih ? Kalian yang udah kualitasnya foto bagus editing dan lainnya loh tapi kenapa masih burik bang ? Pengaturan dari akun instagram kalian apakah sudah ber resolusi tinggi apa belum ? #tipsandtricks #sharingiscaring #carouselpost #nextlevelinstagram #typographyinsta #typographyinspired #garagarainstagram #typhographyindonesia #creativepost #typographyinsta #creativemultiplepost #creativeenthusiast #vscoindonesian #zonafotografi #mainsimple #shotonsony #bandung #lightroom #fromwhatisee #instacreative #somewheremagazine,personal storytelling
wilmpratamaa,"Abadikan momen sempurna dengan #GalaxyS25 Edge! Ringan, tipis, dan memiliki Kamera 200MP. #GalaxyS25 Edge dapat menghasilkan foto & video super tajam dan jernih, plus ada fitur LOG Video untuk hasil sinematik! Beli sekarang di samsung.com/id atau Samsung Store terdekat #GalaxyAI #BeyondSlim @samsungindonesia",call-to-action
wilmpratamaa,"Hi, Kenalkan aku Will Mencoba untuk bisa berkembang kembali di instagram, yang sudah cukup tertinggal dari kawan2 lainnya. Semoga karya yang akan rilis dapat menginspirasi kawan kawan di sana yang sama terus untuk bertumbuh. Salam hangat, bg will #typographyinspired #aesthetic #photographer #garagarainstagram #natureofinstagram",personal storytelling
fuad.aliromadoni,"Curug Gomblang- Surga tersembunyi di kaki gunung Slamet - - Kembali ber-Multiplepost, setelah dipostingan sebelumnya kita sharing materi, Disini saya mencoba kembali ber-Multiplepost, walaupun sempet buntu konsep di pertengahan jalan, tapi akhirnya selesai juga, Alhamdulillah. . . #creativemood #creativepost_id #creativepost #creativepostindo #creative #mobilephotography #mobileediting #creativemultiplepost #creativeentusiast #creativity #creativefeeds #feedsinstagram #feedaesthetic #multiplepost #homeeditorid #wonderfullindonesia #pesonaindonesia #banyumaskeren #lightroomindonesia #lightrooms #picsart #picsartedit #pixellab #purwokertohunting #purwokertohitz #banyumashits #banyumasexplore #purwokertoonline #typografi #typhographyindonesia",personal storytelling
