username_instagram,tier_followers,influencer_id,demography_usia,demography_gender,demography_income,psychography_lifestyle,psychography_personality,psychography_main_value,familiarity_media_pct,trending_status,likeability_sentiment,campaign_success_signif,engagement_rate_pct,rate_card_story,rate_card_feeds,rate_card_reels,has_relevant_history,random_endorse_rate,behavior_consistency,expertise_field,avg_reels_views,avg_post_like,avg_comment
marshaz,Mid,INF109,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Humble,0.83,False,Neutral,True,0.03,492718,4715807,6235751,False,0.24,True,food,5220,9416,435
boramum, Mid,INF110,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.67,True,Neutral,False,0.07,801086,5351581,6544948,True,0.4,True,fashion,28730,2582,141
granzetta,Mid,INF111,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.82,True,Positive,False,0.069,354444,7516965,8190572,False,0.32,True,fitness,20438,6085,495
natashabigeyl,Mid,INF112,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.73,True,Positive,True,0.059,590575,1507772,7686921,False,0.38,False,fashion,33278,9303,208
shahnaz_soehartono,Mid,INF113,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.87,False,Positive,False,0.06,736940,7635056,5901446,False,0.4,False,skincare,30424,8822,428
safiraprameswari,Mid,INF114,['Milenial'],"['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.67,False,Neutral,True,0.066,324013,3980614,5043290,True,0.38,False,food,46900,7003,277
starrisyaaaa,Mid,INF115,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.87,False,Neutral,True,0.058,355246,6762818,9172391,True,0.23,False,food,38825,8706,299
joerdy.s,Macro,INF116,['Generasi Z'],['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Kreatif,0.89,False,Positive,False,0.057,441232,3390507,4340505,False,0.59,True,skincare,5049,658,111
shellyagustines,Macro,INF117,['Generasi Z'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.62,True,Positive,False,0.061,643538,6731221,2154977,False,0.37,False,skincare,38080,3557,410
mikaeljasin, Macro,INF118,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.73,False,Positive,False,0.027,441611,1946641,6256424,True,0.31,False,fashion,24089,3423,113
andirazh,Macro,INF119,['Generasi Z'],"['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.65,False,Neutral,False,0.059,863222,5701316,4131950,False,0.46,False,skincare,43392,820,281
bellmirs,Macro,INF120,['Generasi Z'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.68,False,Positive,False,0.062,775352,2628139,5916730,True,0.48,False,skincare,45255,7696,380
berllian_5,Macro,INF121,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.92,True,Neutral,True,0.018,412280,6667666,7456975,True,0.56,True,fashion,39874,1344,382
risyabrabo,Macro,INF122,['Generasi Z'],['Laki-laki'],Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Humble,0.92,False,Positive,False,0.068,729401,1676878,3484395,True,0.38,True,fitness,41066,3468,181
sam_bram,Macro,INF123,['Generasi Z'],['Perempuan'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.83,True,Positive,False,0.035,711716,6515208,6608548,True,0.34,True,lifestyle,9491,7569,285
wasawirman,Macro,INF124,['Milenial'],['Perempuan'],Atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Kreatif,0.85,False,Positive,False,0.063,996377,7586158,6335491,False,0.29,True,food,31918,1259,173
timotiusmul,Macro,INF125,['Milenial'],['Laki-laki'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.74,False,Neutral,False,0.035,492859,6858627,8545045,False,0.59,False,food,18167,2985,457
rolansihombing_,Macro,INF126,['Milenial'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.79,False,Neutral,False,0.047,395683,1527161,9005225,False,0.54,True,fashion,33578,1414,252
yusufhendratnoo,Macro,INF127,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.84,True,Positive,True,0.047,662382,7990685,4133979,False,0.3,False,lifestyle,16818,4408,469
ryangoutama,Macro,INF128,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.83,False,Positive,True,0.076,673434,5288185,9801039,False,0.43,True,fashion,11586,9309,441
muthiawahyu,Macro,INF129,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.94,False,Neutral,False,0.065,800763,7801047,8442113,False,0.21,False,lifestyle,36000,1664,450
amritsaraje,Macro,INF130,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.77,True,Positive,False,0.038,929041,5949851,3494882,False,0.51,False,fitness,34706,4284,168
asrinda.basrii,Macro,INF131,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.91,False,Positive,True,0.041,918526,7338871,6404855,True,0.38,False,lifestyle,45912,5900,366
amerossaaaaa,Macro,INF132,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.74,False,Positive,False,0.063,644536,2037642,2319755,False,0.47,False,food,27014,6241,396
vandarainy,Macro,INF133,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.71,False,Neutral,False,0.039,931102,7092361,9418323,True,0.47,False,lifestyle,16201,6945,414
soniabasil,Macro,INF134,['Milenial'],['Perempuan'],Menengah,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Kreatif,0.6,True,Positive,True,0.03,405470,6309576,9302328,False,0.22,False,fashion,30089,3429,194
janes_cs,Macro,INF135,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.77,False,Positive,False,0.021,826192,7943815,9340081,False,0.48,True,lifestyle,46099,1083,495
mellacarli,Macro,INF136,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.69,True,Positive,True,0.036,509364,7040720,7729759,True,0.22,True,skincare,32078,1225,295
karenkurniawan_kk,Macro,INF137,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.72,False,Neutral,False,0.079,685180,1209515,9456015,True,0.42,True,skincare,29211,7117,485
rian.sagit,Macro,INF138,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.83,False,Neutral,False,0.025,517425,2465798,2175847,False,0.35,True,skincare,21855,2151,386
ratuketupat,Macro,INF139,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.65,False,Neutral,False,0.079,728368,6742206,5524860,False,0.35,False,food,11265,7274,58
natyashina,Macro,INF140,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Humble,0.87,True,Neutral,False,0.062,308176,1492738,4379861,False,0.36,True,lifestyle,16714,643,375
marinanda_88,Macro,INF141,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.66,False,Positive,False,0.044,571513,5696384,6383830,True,0.53,True,fitness,8295,6819,375
ijfinaamalia,Macro,INF142,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.86,True,Positive,True,0.025,677400,3316039,4719027,True,0.26,True,fitness,46344,5184,108
bettyagustina,Macro,INF143,['Milenial'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Kreatif,0.73,True,Positive,False,0.037,917505,1958413,4282588,True,0.22,True,lifestyle,40967,6411,137
ariizam,Macro,INF144,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.9,True,Positive,True,0.035,839184,7809568,4954462,False,0.39,True,fitness,40864,7738,75
biancakartika,Macro,INF145,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.85,True,Neutral,True,0.043,639106,1908248,4225898,True,0.58,True,lifestyle,30114,8530,288
titantyra,Macro,INF146,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.83,False,Positive,True,0.018,764283,4457127,1600546,True,0.48,False,skincare,18396,2733,291
gerrygirianza,Macro,INF147,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.87,False,Neutral,False,0.036,386094,4299447,8023141,True,0.31,False,skincare,43638,8776,330
vhiendysip,Macro,INF148,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.69,True,Neutral,True,0.07,951821,3006465,5270878,True,0.35,False,lifestyle,14822,7422,395
jennifernatalie,Macro,INF149,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.67,False,Positive,True,0.024,955681,3776567,6176279,True,0.21,False,food,43887,5018,424
ina.marika,Macro,INF150,['Generasi Z'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.8,False,Neutral,False,0.069,769576,3280695,5360576,False,0.53,False,skincare,7738,8687,127
cindyyuvia,Macro,INF151,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.62,False,Neutral,False,0.042,675825,4729617,9557307,True,0.35,False,fashion,17636,8051,361
analisa.widyaningrum,Macro,INF152,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Brave,0.9,False,Positive,True,0.066,392186,1983391,3366207,True,0.44,False,lifestyle,42820,1464,303
cynantiapratita,Macro,INF153,['Milenial'],['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.91,False,Neutral,False,0.024,632741,1444110,8736704,False,0.55,False,skincare,24577,7685,97
odelyn.mackenzie,Macro,INF154,['Milenial'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Humble,0.81,True,Neutral,True,0.02,499432,5435656,7482877,False,0.57,False,fashion,9838,9924,183
ravie.pie,Macro,INF155,['Milenial'],['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Humble,0.92,False,Positive,False,0.022,866673,6116518,4523279,False,0.4,False,fashion,21302,4066,411
zainalarifinmochtar,Macro,INF156,['Milenial'],['Perempuan'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.92,False,Neutral,True,0.065,996275,6809932,1556669,True,0.27,True,food,27188,5104,73
aldwinnv,Macro,INF157,['Milenial'],['Laki-laki'],Menengah,"['Simple', 'Cerah']","['Fun', 'Energetic']",Humble,0.83,True,Positive,True,0.042,662263,7505795,1907646,False,0.47,False,food,38414,4290,419
rezaditya17,Macro,INF158,['Milenial'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Kreatif,0.91,False,Positive,False,0.048,654617,6270670,5176067,True,0.42,True,fitness,25788,3108,359
laurabas,Macro,INF159,"['Generasi Z', 'Milenial']",['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.85,True,Neutral,True,0.078,704420,5763737,5308551,False,0.59,True,food,27384,9652,386
tiffany_jolie,Macro,INF160,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.7,True,Neutral,True,0.022,371988,2637437,2933899,False,0.41,True,food,5762,7759,176
aldogiustino,Macro,INF161,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Ceria', 'Ekspresif']",Humble,0.93,False,Positive,False,0.054,579666,6136467,6554597,False,0.39,False,skincare,44052,1311,448
sofarsabi,Macro,INF162,['Generasi Z'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Fun', 'Energetic']",Humble,0.88,True,Positive,True,0.033,512682,7667820,5318662,False,0.24,True,food,26241,1753,202
eno_bening,Macro,INF163,['Generasi Z'],['Laki-laki'],Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.61,False,Positive,False,0.052,345116,2956994,7735951,True,0.35,False,lifestyle,13712,5797,415
gurugembul,Macro,INF164,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.7,True,Positive,False,0.066,962089,6251947,8839676,True,0.55,True,skincare,32855,6093,273
pedrostbd,Macro,INF165,"['Generasi Z', 'Milenial']",['Perempuan'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.92,False,Neutral,True,0.043,321497,1338400,7457893,True,0.29,False,fitness,19074,8451,474
firhandsatrio,Macro,INF166,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Humble,0.94,True,Neutral,True,0.023,803383,7253339,9312075,False,0.26,True,fitness,26731,3095,478
gregoriamrska,Macro,INF167,['Generasi Z'],['Perempuan'],Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.9,True,Neutral,False,0.038,996719,2236430,2177080,False,0.31,True,food,27021,8386,131
debbysusanto,Macro,INF168,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Humble,0.66,False,Neutral,False,0.034,756755,3138293,8533148,True,0.22,False,fashion,9453,4925,64
ribkasugiarto,Macro,INF169,['Milenial'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.68,True,Neutral,False,0.023,647033,7047686,3170071,True,0.47,False,skincare,19504,2553,394
king.chayra,Macro,INF170,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Humble,0.78,False,Positive,True,0.067,602448,7078757,9605063,True,0.22,False,fashion,38450,9242,132
kadafidevayana,Macro,INF171,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.67,False,Neutral,False,0.04,409589,1268026,9518046,True,0.32,False,lifestyle,33201,1156,55
aang.permana,Macro,INF172,['Generasi Z'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Fun', 'Energetic']",Brave,0.93,False,Positive,True,0.052,947614,1735397,5846350,True,0.26,True,food,35593,4472,71
yoeltristan_,Macro,INF173,['Milenial'],['Laki-laki'],Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.74,False,Neutral,False,0.075,804654,2227686,3157207,False,0.3,True,fitness,39648,1016,156
mudacumasekali,Macro,INF174,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Humble,0.71,False,Neutral,False,0.061,596857,1683375,9732385,True,0.46,True,food,13176,3450,467
raymondchins,Macro,INF175,['Generasi Z'],['Laki-laki'],Atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.68,True,Positive,True,0.027,626282,3660934,8549851,True,0.39,False,food,20964,7607,275
zaskiadyamecca,Mega,INF176,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.67,True,Neutral,False,0.051,986787,4132333,9395765,False,0.24,False,skincare,13259,3928,226
dinda_ans,Mega,INF177,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Humble,0.89,True,Neutral,True,0.044,507504,4848603,2406089,False,0.29,True,fashion,7337,4023,457
syarifa_hdd,Mega,INF178,['Generasi Z'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Brave,0.62,False,Positive,True,0.066,712969,1416615,8523027,False,0.44,False,lifestyle,9975,1244,411
arafahrianti,Mega,INF179,['Milenial'],['Perempuan'],Menengah,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Kreatif,0.7,False,Positive,True,0.032,582337,6327942,5681887,False,0.56,True,fitness,12579,1953,448
vamells,Mega,INF180,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Brave,0.95,True,Positive,False,0.016,804533,3770208,3484289,True,0.49,True,skincare,16876,6645,388
tasyarevina,Mega,INF181,['Generasi Z'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Brave,0.81,True,Neutral,True,0.044,868536,2231864,6724921,True,0.3,True,skincare,30589,6974,306
missnyctagina,Mega,INF182,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.86,True,Neutral,False,0.018,567001,3745805,3542020,False,0.31,False,food,35420,7081,99
iranndha,Mega,INF183,['Generasi Z'],['Laki-laki'],Menengah,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.68,True,Neutral,True,0.042,517018,1363989,9073333,True,0.42,True,skincare,13167,9243,362
vanilawinola,Mega,INF184,['Milenial'],['Perempuan'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Humble,0.67,False,Positive,True,0.058,529031,1492506,1587140,False,0.43,False,fitness,11123,7506,434
ameliaandanii,Mega,INF185,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Brave,0.73,True,Positive,True,0.016,460768,3255595,5240174,False,0.38,False,food,18162,4217,135
jenniferbachdim,Mega,INF186,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Humble,0.61,False,Positive,True,0.052,669264,2448877,9504699,False,0.52,False,fitness,49473,8280,491
dilanjaniyar,Mega,INF187,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Brave,0.87,True,Positive,False,0.06,711138,5030119,3042401,True,0.2,False,fashion,6832,987,165
sarwendah29,Mega,INF188,['Milenial'],"['Perempuan', 'Laki-laki']",Atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.69,True,Neutral,False,0.069,404376,4323567,3399505,True,0.39,True,food,30379,9986,353
attahalilintar,Mega,INF189,['Milenial'],"['Perempuan', 'Laki-laki']",Menengah ke atas,"['Modern', 'Elegance']","['Introvert', 'Tenang']",Kreatif,0.63,False,Positive,False,0.06,621961,3619410,5652112,False,0.45,True,skincare,14618,712,65
raditya_dika,Mega,INF190,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Humble,0.86,False,Positive,False,0.062,978355,7334641,4136221,True,0.27,True,skincare,37493,622,416
iqbaal.e,Mega,INF191,['Generasi Z'],['Laki-laki'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Kreatif,0.9,True,Neutral,False,0.051,971058,2547593,8689178,True,0.49,True,fitness,23169,4577,294
sinisukanthony,Mega,INF192,['Milenial'],['Laki-laki'],Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.74,True,Neutral,True,0.057,349590,6896011,1875487,False,0.57,True,skincare,34334,1863,316
rizkyfbian,Mega,INF193,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Fun', 'Energetic']",Kreatif,0.71,True,Neutral,False,0.018,546052,1018321,5443832,False,0.22,False,fashion,10027,3497,98
felix.siauw,Mega,INF194,['Generasi Z'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Brave,0.89,False,Positive,False,0.029,829879,4234088,5141038,True,0.6,True,lifestyle,40195,3458,124
pandji.pragiwaksono,Mega,INF195,"['Generasi Z', 'Milenial']","['Perempuan', 'Laki-laki']",Menengah,"['Aktif', 'Sehat']","['Introvert', 'Tenang']",Humble,0.75,True,Positive,False,0.03,974563,7311591,4331909,True,0.46,False,food,17814,6574,129
rey_bong26,Mega,INF196,['Generasi Z'],['Perempuan'],Atas,"['Simple', 'Cerah']","['Introvert', 'Tenang']",Kreatif,0.86,False,Positive,False,0.077,731863,1833347,1867356,False,0.27,False,fashion,30639,9760,472
rasyahidayahreal,Mega,INF197,"['Generasi Z', 'Milenial']",['Laki-laki'],Menengah ke atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.73,True,Neutral,True,0.063,830070,5158282,5059984,True,0.22,False,fitness,24565,5225,329
aryamohan7,Mega,INF198,"['Generasi Z', 'Milenial']",['Laki-laki'],Atas,"['Simple', 'Cerah']","['Ceria', 'Ekspresif']",Humble,0.65,True,Positive,True,0.071,565177,2831453,3866528,True,0.39,True,food,41385,9287,99
harry.vghn,Mega,INF199,['Milenial'],['Perempuan'],Menengah ke atas,"['Modern', 'Elegance']","['Fun', 'Energetic']",Brave,0.77,False,Neutral,True,0.019,438032,3798403,8899815,False,0.45,True,fitness,27063,8364,158
williamroberts08,Mega,INF200,['Milenial'],['Laki-laki'],Atas,"['Aktif', 'Sehat']","['Ceria', 'Ekspresif']",Brave,0.79,False,Neutral,True,0.04,610260,4951494,8418641,True,0.24,True,fashion,41300,4073,139
